Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
Introduction To Hospitalityand Tourism Industry,The University Of Maryland Easternshore‚Ä¶,Business & Management,Introductory,English,None,No,"Service Industries, Event Planning, Tourism Management, Tourism, Creativity, Operations, Business Workflow Analysis, Marketing, Food Services, Hospitality"
Project Management Lifecycle,Rochester Institute Of Technology,Business & Management,Intermediate,English,Micromasters‚ÆProgram Inproject Management,Yes,"Project Implementation, Project Management Life Cycle, Project Planning, Project Initiation Documentation, Project Selection, Project Management, Project Documentation, Earned Value Management, Planning"
World Music: Globalrhythms,Massachusetts Institute Of Techn‚Ä¶,Music,Introductory,English,None,No,"Curiosity, Virtuoso, World Music, Violin, Musical Notation"
Introduction To Jenkins,The Linux Foundation,Computer Science,Introductory,English,Professional Certificate Inintroduction To Devops: Practices And Tools,Yes,"Jenkins, Software Development Life Cycle, Continuous Integration, Workflow Management, Automation, DevOps, Quality Assurance, Software Development, Continuous Delivery"
Reservoir Geomechanics,Stanford University,Energy & Earth Sciences,Introductory,English,None,No,"Pore Water Pressure, Geomechanics, Forecasting, Petroleum Engineering, Structural Geology, Fluid Dynamics"
Practical Improvementscience In Health Care: Aroadmap For Getting Res‚Ä¶,Harvard University,Business & Management,Introductory,English,None,No,"ANCC Certified, Healthcare Quality, Theory Of Change, Curiosity, Continuing Medical Education"
Mindfulness Andresilience To Stress Atwork,"University Of California, Berkeley",Business & Management,Introductory,English,Professional Certificate Inthe Science Of Happiness At Work,Yes,"Psychology, Stress Management, Scientific Studies, Resilience, Biology"
Electric Cars:¬†Introduction,Delft University Of Technology,Engineering,Intermediate,English,Professional Certificate Inelectric Cars,Yes,"Electric Vehicles, Business Modeling, Innovation, Infrastructure"
An„°Lisis De Datos: Dise„±O Yvisualizaci„≥N De Tableros,Delft University Of Technology,Computer Science,Intermediate,Espa„±Ol,Professional Certificate Inan„°Lisis Y Visualizaci„≥N De Datos Con Excel,Yes,"Big Data, Dashboard, Data Analysis, Microsoft Excel, Spreadsheets"
Lean Six Sigma Programand Project Management,International Supply Chain Educat‚Ä¶,Business & Management,Introductory,English,Professional Certificate Incertified Lean Six Sigma Yellow Belt (Clssyb),Yes,"Lean Six Sigma Yellow Belt, Change Management, Management, Lean Six Sigma, Process Improvement, Six Sigma Methodology, Lean Manufacturing, Customer Service, Project Management, Risk Management, Supply Chain"
"Human Rights, Humanwrongs: Challengingpoverty, Vulnerability An‚Ä¶",Sdg Academy,Social Sciences,Intermediate,English,None,No,"Corporate Sustainability, Sustainable Development, International Relations, Vulnerability"
Developing Your Personalleadership Style,Indiana University,Business & Management,Introductory,English,Professional Certificateinthe New Manager‚ÄôS Toolkit,Yes,"Emotional Intelligence, Management, Self-Awareness, Leadership"
Principios De Econom„≠Aaplicados A Negocios,Tecnol„≥Gico De Monterrey,Economics & Finance,Advanced,Espa„±Ol,Professional Certificate Inhabilidades Cuantitativas Esenciales En Econom„≠A Y Estad„≠Stica,Yes,"Decision Making, Economic Modeling, Economics"
Logistics Fundamentals,Logyca,Engineering,Introductory,English,None,No,"Operations, Management, Outsourcing"
A Better Start To Reading,University Of Canterbury,Education & Teacher Training,Introductory,English,None,No,"Reading Instruction, Literacy, Dyslexia"
The Industry Andprofession In Constructionmanagement,"The University Of Maryland, Collegepark‚Ä¶",Engineering,Intermediate,English,Professional Certificate Inconstruction Management,Yes,"Civil Engineering, Construction, Planning, Infrastructure, Construction Management, Communications"
We The People: Civicengagement In Aconstitutional Democracy,Harvard University,Social Sciences,Introductory,English,None,No,"Influencing Skills, Civic Engagement"
Technical Support Basicsfor Everyone,Ibm,Computer Science,Introductory,English,Professional Certificate Ininformation Technology (It) Support Pc,Yes,"Service-Level Agreement, Technical Support, Information Technology, Customer Service"
Strategic Applications Ofit Project & Programmanagement,University Of Washington,Business & Management,Introductory,English,Professional Certificateinit Project Management,Yes,"Program Management, Management, Project Management"
Solid Waste Management,World Bank Group,Environmental Studies,Introductory,English,None,No,"Waste Management, Solid Waste Management, Waste Collection, Boosting, Urbanization, Infrastructure, Sustainability"
"Policy For Science,Technology And Innovation",Massachusetts Institute Of Techn‚Ä¶,Social Sciences,Intermediate,English,None,No,"Systems Theories, Innovation, Economics, Organizational Theories, Economic Growth, Economic Modeling, Advanced Manufacturing, Public Policies, Medical Science"
Ap‚Æ Italian Language Andculture (2023-2024),Wellesley College,Humanities,Advanced,English,None,No,"Interactive Learning, Registration, Academic Standards, Auditing, Italian Language"
How To Influence Theconsumer Behavior Todrive Sales By Jonah Ber‚Ä¶,Wobi,Business & Management,Intermediate,English,None,No,"Decision Making, Persuasive Communication, Consumer Behaviour, Sales, Influencing Skills, Marketing, Communications"
Estrategias Y Estilos Denegociaci„≥N,Tecnol„≥Gico De Monterrey,Business & Management,Introductory,Espa„±Ol,Micromasters‚ÆProgram Inhabilidades Profesionales: Negociaci„≥N Y Liderazgo,Yes,"Negotiation, Planning, Strategic Thinking, Negotiation Strategies"
Building Modern Pythonapplications On Aws,Amazon Web Services,Computer Science,Introductory,English,None,No,"AWS Lambda, Serverless Computing, Python (Programming Language), API Gateway, Authentications, Docker (Software), Workflow Management, Virtual Machines, Amazon Elastic Container Service, Data Processing, Amazon API Gateway, Amazon Elastic Compute Cloud, Hosting, Scalability, Amazon Cognito, Cloud-Native Applications, Internet Hosting Service, Amazon Web Services, Application Programming Interface (API), Infrastructure, Authorization (Computing), Amazon Elastic Kubernetes Service, Application Development"
Energ„≠A El„©Ctrica:Conceptos Y Principiosb„°Sicos,Tecnol„≥Gico De Monterrey,Engineering,Intermediate,Espa„±Ol,Professional Certificateinsustentabilidad Energ„©Tica Y La Smart Grid,Yes,"Electricity, Electrical Networks, Voltage, Energy Consumption, Direct Current, Alternating Current"
"Automated Softwaretesting: Unit Testing,Coverage Criteria And De‚Ä¶",Delft University Of Technology,Computer Science,Intermediate,English,Professional Certificateinautomated Software Testing,Yes,"Boundary Testing, Safety Assurance, System Testing, Test Automation, Software Testing, Code Coverage, Testability, Software Quality (SQA/SQC), Automation, Unit Testing"
Do Your Venture:Entrepreneurship Foreveryone,Indian Institute Of Management B‚Ä¶,Business & Management,Introductory,English,Micromasters‚ÆProgram Inentrepreneurship,Yes,Management
El Cerebro Y Las Emocionesen El Lenguaje,Universidad Del Rosario,Communication,Introductory,Espa„±Ol,None,No,"Influencing Skills, Problem Solving, Biology, Emotional Intelligence, Communications"
Autonomous Mobilerobots,Eth Zurich,Computer Science,Intermediate,English,None,No,"Motion Planning, Localization, Kinematics, Algorithms"
Introduction Todevelopmentalpsychology,The University Of Queensland,Humanities,Introductory,English,"Xseries Inintroduction To Developmental, Social & Clinical Psychology",Yes,"Developmental Psychology, Communications, Psychology, Curiosity, Biology"
World Of Wine: From Grapeto Glass,University Of Adelaide,Science,Introductory,English,None,No,"Decision Making, Viticulture"
Network Defenseessentials (Nde),Ec-Council,Computer Science,Intermediate,English,Professional Certificate Incybersecurity Essentials,Yes,None
Building A Risc-V Cpucore,The Linux Foundation,Computer Science,Introductory,English,None,No,"Emerging Technologies, Digital Logic, Logic Synthesis, Circuit Design, Reduced Instruction Set Computing, Verilog, Open Source Development, Microarchitecture, Integrated Development Environments"
Fundamentos Tic Paraprofesionales De Negocios:Ciberseguridad E Implica‚Ä¶,Universitat Polit„®Cnica De Val„®Ncia,Computer Science,Introductory,Espa„±Ol,Professional Certificateinfundamentos Tic Para Profesionales De Negocios,Yes,"Telecommunications, Business Strategies, Computer Science, Cyber Security, Information Technology, Information Systems, Ergonomics, Cloud Computing"
"Citizen Politics In America:Public Opinion, Elections,Interest Groups, And The‚Ä¶",Harvard University,Social Sciences,Introductory,English,Xseries Inu.S. Government,Yes,"Influencing Skills, Polling, Public Opinion, Demonstration Skills, Social Movements"
Introduction Toobject-Orientedprogramming With Java Ii‚Ä¶,The Georgia Institute Of Technology,Computer Science,Introductory,English,Professional Certificate Inintroduction To Object-Oriented Programming With Java,Yes,"Syntax, Java (Programming Language), Algorithms, Object-Oriented Programming (OOP), Polymorphism"
Power Searching Withgoogle,Google,Computer Science,Introductory,English,Xseries Inpower Searching With Google,Yes,Research
Supply Chain Managementtools And Techniques,International Supply Chain Educat‚Ä¶,Business & Management,Introductory,English,Professional Certificateincertified Supply Chain Analyst (Csca),Yes,"Supply Chain Analysis, Operations, Sales Order, Aggregate Planning, Continuous Improvement Process, Six Sigma Methodology, Lean Manufacturing, Supply Chain, Planning, Supply Chain Management, Life-Cycle Assessment"
The Art And Science Ofsearching In Systematicreviews,The National University Of Singap‚Ä¶,Medicine,Introductory,English,None,No,"Environmental Science, Social Sciences, Policy Studies, Research, Health Sciences"
Introduction To Risc-V,The Linux Foundation,Computer Science,Introductory,English,None,No,"Workflow Management, Microprocessor, Reduced Instruction Set Computing"
Ai In Practice: Applying Ai,Delft University Of Technology,Business & Management,Intermediate,English,Professional Certificate Inai In Practice,Yes,"Deep Learning, Image Analysis, Artificial Intelligence, Innovation, Data Analysis, Reinforcement Learning, Machine Learning, Applications Of Artificial Intelligence, Natural Language Processing, Algorithms"
Financial Accounting Andanalysis,Indian Institute Of Management B‚Ä¶,Business & Management,Intermediate,English,None,No,"Financial Statements, Finance, Marketing Operations, Supply Chain Strategy, Management, Operations, Financial Accounting, Accounting, Supply Chain, Decision Making, Financial Data"
Python Fundamentals Forbusiness Analytics,Lehigh University,Computer Science,Introductory,English,Professional Certificateinbusiness Analytics Fundamentals For Data Driven Decisions,Yes,None
Introduction To Istio,The Linux Foundation,Computer Science,Intermediate,English,None,No,"Application Deployment, WebAssembly, Resilience, Microservices, Istio, Linux, Authorization (Computing), Kubernetes, Circuit Breakers, Docker (Software), Authentications"
Time Management Forbeginners,State Bank Of India,Business & Management,Introductory,English,None,No,None
Advanced Corporatestrategy,Indian Institute Of Management B‚Ä¶,Business & Management,Advanced,English,None,No,"Strategic Management, Corporate Strategy"
Becoming A Successfulleader (Inclusiveleadership Training),Catalyst,Communication,Introductory,English,Professional Certificateininclusive Leadership,Yes,"Accountability, Leadership Styles, Leadership Development, Leadership"
Efficient Hvac Systems,Delft University Of Technology,Architecture,Intermediate,English,Professional Certificateinbuildings As Sustainable Energy Systems,Yes,"Energy Supply, Air Handler, Construction, Water Supply Networks, Ventilation, HVAC, Boilers, Energy Management Systems, Renewable Energy, Energy Conversion, Energy Consumption"
Embedded Systemsessentials With Arm: Getpractical With Hardware,Arm Education,Computer Science,Intermediate,English,Professional Certificateinembedded Systems Essentials With Arm,Yes,"Creativity, Embedded Systems, Autonomous Vehicles, Internet Of Things (IoT), Asynchronous Serial Communication, Artificial Intelligence, Communications Protocols, 5G Technology, Real-Time Operating Systems, Multitasking, Bill Of Materials, Data Transmissions, Application Programming Interface (API), Peripheral Devices"
Age Of Sustainabledevelopment,Sdg Academy,Social Sciences,Intermediate,English,Professional Certificateinfoundations Of Sustainable Developmentprofessional Certificateinmaster‚ÄôS Pathway In Foundations Of Sustainable Development,Yes,"Sustainable Development, Sustainability, Physical Science, Social Policy, Corporate Sustainability"
Stand Up!; Comedywriting And Performancepoetry,University Of Cambridge,Communication,Intermediate,English,Micromasters‚ÆPrograminwriting For Performance And The Entertainment Industries,Yes,"Stand-Up Comedy, Scripting, Communications, Writing"
Herramientas Deinteligencia Artificial Parala Productividad. M„°S All‚Ä¶,Universitat Polit„®Cnica De Val„®Nciauniversidad Galileo,Engineering,Intermediate,Espa„±Ol,None,No,None
Introduction To Probabilitymanagement,Stanford University,Data Analysis & Statistics,Introductory,English,None,No,"Communications, Probability, Microsoft Excel, Management, Statistics"
China And Communism,Harvard University,History,Introductory,English,Xseriesinhistory Of China: The Modern Era,Yes,None
The Jewish Bible: Itshistory As A Physicalartifact,Harvard University,Humanities,Introductory,English,None,No,None
The What And How Ofesports Management!,Hp,Computer Science,Introductory,English,Professional Certificate Inesports Management And Game Development,Yes,"Marketing, Innovation, Content Creation, eSports, Video Game Development, eSports Management"
Design Thinkingfundamentals,Rochester Institute Of Technology,Business & Management,Intermediate,English,Micromasters‚ÆProgramindesign Thinking,Yes,"Innovation, Design Thinking"
Sustainable Cities,Sdg Academy,Environmental Studies,Intermediate,English,Professional Certificate Insustainable Cities And Urban Development,Yes,"Urban Sustainability, Sustainable Business, Sustainability, Economics, Infrastructure, Resilience, Telecommunications, Real Estate, Public Policies, Sustainable Development, Real Estate Development"
Abnormal Psychology,Doane University,Humanities,Intermediate,English,None,No,"Abnormal Psychology, Diagnostic And Statistical Manual Of Mental Disorders, Biology, Psychology, Auditing"
Intro Course:Spreadsheets Andstatistics,Edx,Data Analysis & Statistics,Introductory,English,None,No,"Google Sheets, Spreadsheets, Anatomy"
Introducci„≥N A La Gen„©Ticay La Evoluci„≥N,Universidad Aut„≥Noma De Madrid,Biology & Life Sciences,Introductory,Espa„±Ol,None,No,"Psychology, Associate Degree In Nursing, Genetics, Viral Diseases, Biology, Biotechnology, Demonstration Skills"
Digital Design,The Hong Kong University Of Scie‚Ä¶,Design,Introductory,English,None,No,"Virtual Reality, Augmented Reality, Digital Design, Rigging, Key Frame, Computer-Aided Design"
Debate Y Argumentaci„≥N,Universidad Del Rosario,Humanities,Introductory,Espa„±Ol,Professional Certificate Int„©Cnicas De Debate Y Argumentaci„≥N,Yes,"Strategic Decision-Making, Management, Communications, Debating, Persuasive Communication"
Penetration Testing Andincident Response,Ibm,Computer Science,Introductory,English,Professional Certificate Incybersecurity Analyst,Yes,None
"¬°Luces, Celular Y Acci„≥N!Crea Contenidosaudiovisuales De Impacto",Pontificia Universidad Javeriana,Communication,Introductory,Espa„±Ol,None,No,"Smartphone Operation, Value Propositions, Marketing, Data Science, Economics, Communications"
Marketing Enfocado En Laestrategia De Servicios,Universidad Nacional De C„≥Rdoba,Business & Management,Introductory,Espa„±Ol,Micromasters‚ÆProgramingesti„≥N De Servicios: Dise„±O De Experiencias Exitosas,Yes,"Service Strategy, Human Resource Management, Management, Marketing, Communications, Operations"
Fundamentos De Log„≠Stica,Logyca,Engineering,Introductory,Espa„±Ol,Professional Certificateinintroducci„≥N A La Log„≠Stica,Yes,"Outsourcing, Consolidation, Operations, Strategic Thinking"
Machine Learning Withpython For Financeprofessionals,Acca,Computer Science,Intermediate,English,Professional Certificateinfintech For Finance And Business Leaders,Yes,"Finance, Financial Technology (FinTech), Association Of Chartered Certified Accountants, Python (Programming Language), Jupyter, Machine Learning, Customer Service, Business Strategies"
Quantum Mechanics,Georgetown University,Physics,Intermediate,English,Professional Certificateinfoundations Of Quantum Sensing,Yes,"Basic Math, Mechanics, Chemistry, Experimentation, Quantum Information, Quantum Mechanics, Quantum Computing, Physics, Calculus, Modern Physics, Communications"
Agile Innovation Andproblem Solving Skills,"The University Of Maryland, Collegepark‚Ä¶",Engineering,Advanced,English,Professional Certificate Inagile Project Management,Yes,"PMI Agile Certified Practitioner, Critical Thinking, Creative Thinking, Business Modeling, Certified Scrum Master, Timeboxing, User Story, Requirements Elicitation, Business Valuation, Project Management Institute (PMI) Methodology, Scrum (Software Development), Innovation, Agile Leadership, Problem Solving, Agile Methodology, Empathy, Test-Driven Development (TDD), Thinking Processes, Risk Management, Project Management Professional Certification"
Mandarin Chineseessentials,Mandarinx,Language,Introductory,English,Professional Certificate Inmandarin Essentials For Beginnersprofessional Certificate Inbusiness Mandarin Essentials,Yes,"Mandarin Chinese, Pronunciation, Grammar, Communications"
The Essentials Of Dataliteracy Online Course,Davidson College,Data Analysis & Statistics,Introductory,English,Professional Certificate Infundamentals Of Data Visualization With Power Biprofessional Certificate Inweb App Development For Data Scientistsprofessional Certificate Indata Analysis Basics With Excel And R,Yes,"Data Literacy, Data Auditing, Communications, Data Analysis, R (Programming Language), Data Visualization, Critical Thinking, Statistical Programming"
"Endocrine, Renal Andgastrointestinal Systems",The University Of Queensland,Medicine,Introductory,English,Professional Certificate Insystems Physiology,Yes,"Endocrine Systems, Gastroenterology, Biological Systems, Homeostasis, Metabolism, Pancreas, Physiology, Digestive System"
Intro Course: Datastorytelling,Edx,Business & Management,Introductory,English,None,No,"Design Elements And Principles, Presentations, Data Storytelling, Visual Design, Storytelling"
Introduction To Userexperience,Hec Montr„©Al,Computer Science,Intermediate,English,Micromasters‚ÆProgram Inux Design And Evaluation,Yes,"Research, Innovation, User Experience, Mobile Application Development, Ideation, Usability, UX Research, Research Design, Prototyping, User Experience Design (UX), Human-Centered Design, Self Service Technologies, Design Thinking, Human Factors"
Linear Algebra Ii: Matrixalgebra,The Georgia Institute Of Technology,Math,Intermediate,English,Professional Certificateinintroductory Linear Algebra,Yes,"Algorithms, Operations, Economics, Matrix Algebra, Linear Algebra, Basic Math, Linear Equations"
Dise„±A Presentacioneseficaces Con Powerpoint,Universitat Polit„®Cnica De Val„®Ncia,Computer Science,Introductory,Espa„±Ol,"Professional Certificateinfundamentos De Microsoft Office Para La Empresaprofessional Certificateinherramientas Tic Para La Educaci„≥Nprofessional Certificateinherramientas De Presentaci„≥N: Power Point, Photoshop E Illustrator",Yes,"Microsoft PowerPoint, Presentations"
Computer Architecture,Harvey Mudd College,Engineering,Introductory,English,None,No,"Digital Design, Combinational Logic, Computer Architecture"
Let'S Get Started: Buildingself-Awareness,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,Professional Certificate Inre-Imagining Leadership,Yes,"Self-Awareness, Decision Making, Business Case, Practice Management, Emotional Intelligence, Self Evaluation, Cognitive Style, Leadership, Management, Goal Setting"
Enterprise Selling,Queen‚ÄôS University,Business & Management,Introductory,English,Professional Certificate Inenterprise Sales,Yes,"Sales Process, Marketing, Sales, Sales Concepts, Communications, Consulting, Selling Techniques, Sales Strategy"
Natural Languageprocessing: Foundations,The National University Of Singap‚Ä¶,Computer Science,Introductory,English,None,No,None
Business Writingtechniques,Doane University,Communication,Introductory,English,Microbachelors Program Inbusiness And Professional Communication For Success,Yes,"Proofreading, Business Communication, Communications, Business Writing, Business Presentations"
Using Email Fornetworking In English,University Of Washington,Language,Introductory,English,Professional Certificateinenglish For Business Networking,Yes,"Vocabulary, Communications, Writing"
Introduction To Biomedicalimaging,The University Of Queensland,Medicine,Introductory,English,None,No,"Neurology, X-Ray Computed Tomography, Cancer"
Introducci„≥N A Losencofrados Y Las Cimbrasen Obra Civil Y Edificaci„≥N,Universitat Polit„®Cnica De Val„®Ncia,Engineering,Introductory,Espa„±Ol,None,No,Civil Engineering
Ux Research,Hec Montr„©Al,Social Sciences,Intermediate,English,Micromasters‚ÆProgram Inux Design And Evaluation,Yes,"Research, Web Analytics, UX Research, Data Collection, Curiosity, New Product Development, Empathy, Optometry, User Experience Design (UX), User Information, User Experience"
Introduction To Javaprogramming: Starting Tocode In Java,Universidad Carlos Iii De Madrid,Computer Science,Introductory,English,Professional Certificate Inintroduction To Java Programming,Yes,"Java (Programming Language), Computational Thinking, Object-Oriented Programming (OOP), Application Programming Interface (API), Smartphone Operation"
Gesti„≥N Del Estr„©S Ymindfulness,Universidades An„°Huac,Health & Safety,Introductory,Espa„±Ol,Professional Certificate Ininteligencia Emocional Y Liderazgo,Yes,"Stress Management, Hypnosis, Immune Systems, Emotional Intelligence"
Human-Computerinteraction I:Fundamentals & Design P‚Ä¶,The Georgia Institute Of Technology,Computer Science,Introductory,English,Professional Certificateinhuman-Computer Interaction,Yes,"Information Visualization, Human Factors Engineering, Augmented Reality, Design Elements And Principles, User Interface Design, Interface Design, Computer Science, User Experience Design (UX), Cognitive Load Theory, Psychology"
Thermodynamics Andphase Equilibria,Stanford University,Science,Introductory,English,None,No,Thermodynamics
Bases Matem„°Ticas:N„∫meros Y Terminolog„≠A,Universitat Polit„®Cnica De Val„®Ncia,Math,Intermediate,Espa„±Ol,Xseries Inbases Matem„°Ticas Para Estudiar Ingenier„≠A,Yes,Basic Math
China Humanities: Theindividual In Chineseculture,Harvard University,Humanities,Introductory,English,None,No,None
Linear Algebra I: Vectorsand Linear Equations,Delft University Of Technology,Math,Intermediate,English,Professional Certificate Inmastering Linear Algebra,Yes,"Linear Algebra, Machine Learning, Linear Equations, Quantum Computing, Basic Math"
Risk & Return,Columbia University,Business & Management,Introductory,English,Professional Certificateincorporate Finance,Yes,"Capital Structures, Equity and Debt, Equities, Expected Return, Cash Flows, Weighted Average Cost Of Capital (WACC), Financial Asset, Cost Of Capital"
Introduction To Computerscience And Programming,Tokyo Institute Of Technology,Computer Science,Introductory,English,None,No,"Writing, Data Science, Artificial Intelligence, Cryptanalysis, DNA Sequencing, Big Data, Algorithms, Computer Simulation, Forecasting, Encryption, English Language, Ruby (Programming Language), Data Mining, Computer Science"
Introduction To Cilium,The Linux Foundation,Computer Science,Introductory,English,None,No,None
Digital Design,Harvey Mudd College,Engineering,Introductory,English,None,No,"Digital Systems, Experimentation, Computer Architecture, Semiconductors, Digital Design"
Relational Database Basics,Ibm,Data Analysis & Statistics,Introductory,English,"Professional Certificate Indata Engineering Fundamentalsprofessional Certificate Indata Engineeringprofessional Certificate Indata Warehouse Engineeringprofessional Certificate Insql, Nosql, And Relational Database Fundamentals",Yes,"Relational Database Management Systems, IBM DB2, MySQL, SQL (Programming Language), Relational Databases, PostgreSQL, Relational Database Design"
Cybersecurity Roles Andoperating System Security,Ibm,Computer Science,Introductory,English,Professional Certificate Inibm Cybersecurity Fundamentalsprofessional Certificate Incybersecurity Analyst,Yes,"Cyber Security, Computer Security, Operating Systems"
Fundamentos De Laguitarra El„©Ctrica Yac„∫stica,Berklee College Of Music,Music,Introductory,Espa„±Ol,None,No,"Music Theory, Electric Guitar, Acoustic Guitar, Guitars, Communications"
Global Challenges For Asustainable Society,Ku Leuven,Science,Introductory,English,None,No,None
Biostatistics,Doane University,Biology & Life Sciences,Introductory,English,None,No,"Academic Integrity, Public Health, Biostatistics, Apache Spark, Biology, Auditing"
Monetary Policy Analysisand Forecasting,The International Monetary Fund,Economics & Finance,Advanced,English,None,No,"Policy Analysis, Forecasting, Monetary Policies, MATLAB, Capacity Development"
Implant Dentistry,University Of Hong Kong,Medicine,Introductory,English,None,No,"Surgical Procedures, Dentistry, Treatment Planning"
Macroeconomics Ofclimate Change: Greenpublic Finance,The International Monetary Fund,Economics & Finance,Intermediate,English,None,No,"Investment Management, Public Financial Management, Capacity Development, Protocol Independent Multicast, Macroeconomics, Public Finance"
"Data Structures &Algorithms Ii: Binary Trees,Heaps, Skiplists And Has‚Ä¶",The Georgia Institute Of Technology,Computer Science,Intermediate,English,Professional Certificate Indata Structures And Algorithms,Yes,"Binary Search Trees, Operations, Data Store, Java (Programming Language), Java Object Oriented Querying, Time Complexity, Algorithms, Data Structures"
Sustainable Energy:Design A Renewablefuture,Delft University Of Technology,Engineering,Intermediate,English,None,No,"Energy Technology, Renewable Energy, Energy Conservation"
Data Warehousing And Bianalytics,Ibm,Computer Science,Intermediate,English,"Professional Certificateindata Engineeringprofessional Certificateinsql, Etl And Bi Fundamentalsprofessional Certificateindata Warehouse Engineering",Yes,"Data Warehouse Systems, Dashboard, Star Schema, Data Lakes, Business Intelligence, SQL (Programming Language), Materialized View, Snowflake Schema, Relational Databases, Data Warehousing, Business Intelligence Tools"
Japanese Books: Frommanuscript To Print,Harvard University,Art & Culture,Introductory,English,None,No,"Multimedia, Collections, Visual Storytelling, Storytelling"
Climate Action: Solutionsfor A Changing Planet,Sdg Academy,Environmental Studies,Intermediate,English,None,No,"Sustainable Development, Systems Analysis, Corporate Sustainability, Negotiation"
Rise To Leadership:Become A Ceo,Babson College,Business & Management,Intermediate,English,Professional Certificate Inexecutive Leadership,Yes,"Consulting, People Management, Value Creation, Communications, Revenue Growth, Leadership, Advising"
Negociaci„≥N Exitosa:Estrategias Y Habilidadesesenciales (En Espa„±Ol),The University Of Michigan,Business & Management,Introductory,Espa„±Ol,None,No,"Negotiation Strategies, Planning, Planning Tools, Spanish Language, Negotiation, Mobile Application Development"
Sustainable Urbandevelopment,Delft University Of Technologywageningen University & Research,Architecture,Introductory,English,None,No,"Social Sciences, Municipal Or Urban Engineering, Urban Design, Urban Planning, Sustainability, Urbanization, Living Conditions, Integration"
Business Communication,Rochester Institute Of Technology,Communication,Introductory,English,Professional Certificate Inleadership Essentials,Yes,"Leadership, Business Writing, Business Communication, Non-Verbal Communication, Target Audience, Active Listening, Communications"
Computer Architecturewith An Industrial Risc-Vcore [Rvfpga],The Linux Foundation,Computer Science,Intermediate,English,None,No,None
Data Science Tools,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificateindata Science Foundationsprofessional Certificateinibm Data Science,Yes,"Jupyter, Data Science, RStudio, Watson Studio, Jupyter Notebook, Markdown, Python (Programming Language)"
Industrial Biotechnology,Delft University Of Technology,Engineering,Intermediate,English,Professional Certificate Inindustrial Biotechnology And Industrial Fermentation,Yes,"Sustainability, Industrial Processes, Biotechnology, Fermentation"
Introduction To Finops,The Linux Foundation,Computer Science,Introductory,English,None,No,"Cash Flow Management, Cost Management, Customer Demand Planning, Purchasing, DevOps, Accountability, Accounting, Procurement, Finance, Financial Management, Cloud Financial Management (FinOps)"
Arduino Para Ni„±Os ¬°Vamosal Espacio!,Pontificia Universidad Javeriana,Electronics,Introductory,Espa„±Ol,None,No,"Electronics, Creativity, Self-Control, Communications, Problem Solving, Presentations"
Dentistry & Human Life,Seoul National University,Biology & Life Sciences,Introductory,English,None,No,"Dentistry, Dental Health, Orthognathic Surgery, Orthodontics"
Grabar Y Mezclar M„∫sica,Berklee College Of Music,Music,Introductory,Espa„±Ol,Xseries Ingrabaci„≥N Y Producci„≥N Musical,Yes,"Record Producer, Production Planning, Music Production, Studio Recording"
Linux Tools For Softwaredevelopment,The Linux Foundation,Computer Science,Introductory,English,"Professional Certificate Inopen Source Software Development, Linux And Git",Yes,"Software Development, Bash (Scripting Language), Operating Systems, Linux, File Systems, Command-Line Interface, Open Source Development, Compilers"
College Algebra,Doane University,Math,Intermediate,English,None,No,"Auditing, Linear Systems, Problem Solving, Algebra"
Managing Conflicts Onprojects With Cultural Andemotional Intelligence,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,Professional Certificate Inprogram Management And The Art Of Communication,Yes,"Intercultural Competence, Influencing Skills, Conflict Resolution, Conflict Management, Logo Design, Non-Verbal Communication, Capability Maturity Model, Emotional Intelligence, Storyboarding, Communications, Persuasive Communication, Problem Solving, Program Management"
Unlocking Investment Andfinance In Emergingmarkets And Developing‚Ä¶,World Bank Group,Economics & Finance,Introductory,English,None,No,"Investments, Sustainable Development, Institutional Investing, Finance"
Fisiolog„≠A Del Ejerciciopara Todos,Universidad Del Rosario,Medicine,Introductory,Espa„±Ol,None,No,None
Programming 101: Anintroduction To Python Foreducators,Raspberry Pi Foundation,Education & Teacher Training,Introductory,English,None,No,None
Edici„≥N De V„≠Deo Ypostproducci„≥N Condavinci Resolve. B„°Sico,Universidad Carlos Iii De Madrid,Communication,Introductory,Espa„±Ol,Professional Certificate Inedici„≥N De V„≠Deo Y Postproducci„≥N Con Davinci Resolve,Yes,"Audio Editing Software, Post-Production, Audio Editing, Written Composition, Animations, DaVinci Resolve (Video Editing Software), Creativity, Color Correction, Computing Platforms, Audio Mixing, Tutorials, Visual Effects, Video Editing, Sound Effects"
A-Level Furthermathematics For Year 12 -Course 1: Complex Numb‚Ä¶,Imperial College London,Math,Intermediate,English,None,No,"Basic Math, Language Construct"
International Humanitarianlaw,Universit„© Catholique De Louvain,Law,Advanced,English,Micromasters‚ÆProgramininternational Law,Yes,"International Laws, Counter-Terrorism"
